segment,candidate,revision,license,decision,reusable_boundary,target_use,do_not_copy,required_audit,local_status
evidence-contract,hjqcan/GoodMemory,08ebbb50097dc9cf03810391f37a2d8e22f20ca2,MIT,adapt_with_attribution,src/evidence/contracts.ts,canonical source-message and evidence-link schema,package-wide domain model,characterization plus missing-confidence and provenance counterexamples,git-objects-available-windows-checkout-blocked
temporal-records,hjqcan/GoodMemory,08ebbb50097dc9cf03810391f37a2d8e22f20ca2,MIT,adapt_with_attribution,src/domain/records.ts,separate observed validity expiry and transaction times,default-confidence behavior,bitemporal and timezone boundary tests,git-objects-available-windows-checkout-blocked
storage-ports,hjqcan/GoodMemory,08ebbb50097dc9cf03810391f37a2d8e22f20ca2,MIT,adapt_with_attribution,src/storage/ports.ts,provider-neutral repository interfaces,all concrete adapters,contract tests across SQLite and in-memory,git-objects-available-windows-checkout-blocked
retrieval-trace,hjqcan/GoodMemory,08ebbb50097dc9cf03810391f37a2d8e22f20ca2,MIT,adapt_with_attribution,src/recall/retrievalTrace.ts,channel fusion and fallback audit trail,provider-specific reranker plumbing,privacy redaction and deterministic replay tests,git-objects-available-windows-checkout-blocked
write-ownership,hjqcan/GoodMemory,08ebbb50097dc9cf03810391f37a2d8e22f20ca2,MIT,reference_only,src/remember/writeOwnership.ts,transaction ownership and rollback design,implementation before fault injection,crash consistency and partial rollback tests,git-objects-available-windows-checkout-blocked
cited-file-retrieval,arhuman/mnemos,0bdf9de70350ff4659ce7af9ee25536b14fe8b9d,MIT,adapt_with_attribution,internal search and citation contracts,exact source section and line citations,whole Go application,citation drift and changed-file tests,available-static-audit-go-unavailable
path-confinement,arhuman/mnemos,0bdf9de70350ff4659ce7af9ee25536b14fe8b9d,MIT,adapt_with_attribution,internal/security/paths.go,write and read root confinement,language-specific filesystem calls,Windows junction symlink and TOCTOU tests,available-static-audit-go-unavailable
deterministic-rrf,arhuman/mnemos,0bdf9de70350ff4659ce7af9ee25536b14fe8b9d,MIT,adapt_with_attribution,internal/search/hybrid.go and rerank.go,sparse dense rank fusion baseline,linear dense scan,tie fallback missing-channel and duplicate tests,available-static-audit-go-unavailable
chunking,arhuman/mnemos,0bdf9de70350ff4659ce7af9ee25536b14fe8b9d,MIT,adapt_with_attribution,internal/chunk,Markdown code and text golden-test corpus,Go token estimator without calibration,multilingual token and citation stability benchmark,available-static-audit-go-unavailable
feedback-ledger,Beledarian/mcp-local-memory,86450ce477607bdd97f5b63db8f9ccf760429bc7,MIT,adapt_with_attribution,src/db/schema.ts and src/tools/core.ts,separate recall exposure from explicit outcome feedback,importance and decay assumptions,causal utility delayed-harm and spam tests,npm-ci-failed-node24-native-build
hybrid-scoring,Beledarian/mcp-local-memory,86450ce477607bdd97f5b63db8f9ccf760429bc7,MIT,comparator_only,src/lib/scoring.ts,compact hybrid and reinforcement baseline,hard-coded model dimension and production weights,equal-budget retrieval benchmark,npm-ci-failed-node24-native-build
context-provider,Beledarian/mcp-local-memory,86450ce477607bdd97f5b63db8f9ccf760429bc7,MIT,reject_for_now,src/lib/context_provider.ts,negative test donor,substring relevance raw truncation and swallowed errors,adversarial context budget and failure tests,npm-ci-failed-node24-native-build
authoritative-markdown,jagoff/memo,645648a01ac370650579c2e91cbf7f6c03f97115,MIT,reference_only,Markdown source plus derived SQLite index,rebuildable human-auditable canonical memory,full package,file-index divergence and rebuild tests,available-static-audit-platform-limited
context-pack,jagoff/memo,645648a01ac370650579c2e91cbf7f6c03f97115,MIT,adapt_with_attribution,src/memo/context_pack.py,current supporting and stale-conflicting evidence buckets,product-specific record shape,budget omission sensitivity and contradiction tests,available-static-audit-platform-limited
atomic-write,jagoff/memo,645648a01ac370650579c2e91cbf7f6c03f97115,MIT,reference_only,src/memo/atomic_io.py,fsync and atomic replace test design,fcntl implementation,cross-platform crash consistency tests,available-static-audit-platform-limited
protocol,modelcontextprotocol/python-sdk,57394b0548d1e2dc2dce8d67d84985769df3b8bb,MIT,adopt_dependency,official SDK stable interface,local stdio MCP adapter,domain coupling and unpinned major,conformance host matrix and breaking-version audit,remote-pinned-not-downloaded
local-embeddings,qdrant/fastembed,c48247f15df70acdf19f05dc08380fb37ee3661b,Apache-2.0,adopt_dependency,embedding adapter only,optional local dense retrieval,model as canonical memory,model license dimension latency and Polish benchmark,remote-pinned-not-downloaded
database-encryption,sqlcipher/sqlcipher,63697beb0fafcb61faa7a3e6fd267036548ab11b,BSD-3-Clause,reference_only,encrypted SQLite boundary,optional at-rest encryption,unmanaged key lifecycle,binary platform backup recovery and key custody spike,remote-pinned-not-downloaded
pii-screening,data-privacy-stack/presidio,760d6c83ae89274a268e01aef3e6da7910664a83,MIT,reference_only,analyzer and anonymizer worker,optional ingestion privacy guard,claim of complete detection,Polish recall false-positive and pseudonymization tests,remote-pinned-not-downloaded
secret-screening,gitleaks/gitleaks,b58d3f102cf3a2c84cb7f923d05c25c9b1aed84b,MIT,adopt_dependency,CLI or core scanner,pre-ingestion and pre-commit secret gate,separately licensed gitleaks-action,custom-token recall history scanning and rotation runbook,remote-pinned-not-downloaded
prospective-time-scheduler,agronholm/apscheduler,26bff5d1001d8d259f4d7ddaad6cf055072bb257,MIT,adopt_dependency,stable 3.x scheduling adapter,persisted due-time calculation and wakeups,4.x prerelease and action authorization,restart timezone duplicate and missed-trigger tests,remote-pinned-not-downloaded
