level,backend,status,canonical_data,external_dependency,primary_question,unlock_requirement
O,full-relevant-evidence-oracle,planned,yes,none,"reader ceiling and prompt sensitivity","reviewed gold evidence"
B0,no-memory,exploratory-control-completed,yes,none,"incremental value of any memory","retain as mandatory zero-memory control"
B1,rg-tokenized-lexical,exploratory-comparator-retained,yes,ripgrep,"lowest complexity text baseline","retain as simpler sparse comparator; PMLAB v0.1 test is spent"
B2,sqlite-fts5-bm25,exploratory-sparse-baseline-advanced,yes,Python SQLite,"indexed sparse retrieval benefit","advanced over B1 only for new preregistered exploratory comparisons; H-tier confirmation and safety mechanisms remain required"
B3,rule-entity-time,component-candidate,yes,none,"separate value of entity resolution temporal normalization and validity filtering","2x2 normalized-query by validity-scope experiment"
C1,local-dense-embeddings,design-admitted-execution-locked,yes,pinned local embedding model,"semantic and paraphrase benefit","freeze reviewed natural-history corpus source units independent labels and development-selected model manifest"
C2,hybrid-sparse-dense,design-admitted-execution-locked,yes,C1,"complementary retrieval benefit","freeze C1 and equal-input RRF k=60 depths on development then independently label prospective test"
C3,temporal-validity-ranking,locked,yes,C2,"updates and as-of reasoning","reviewed temporal labels"
C4,graph-causal-retrieval,locked,yes,C3,"relational and causal multi-hop benefit","separate graph extraction audit"
C5,operational-salience-retention,locked,yes,C4,"future utility under constrained budget","counterfactual utility labels"
