id,domain,biological_mechanism,computational_problem,abstraction,biology_status,ml_status,llm_agent_status,implementation_examples,benchmark_evidence,transfer_status,primary_risk,next_test,biology_sources,ai_sources
"BTA-001","working-memory","limited active maintenance","allocate a bounded active workspace","token-budgeted working set with explicit admission and eviction","established","mature","common","context windows; scratchpads; MemGPT/Letta tiering","partial","existing_baseline","context tokens are passive inputs and not a central executive","dynamic context builder versus fixed top-k and full recent context at equal tokens","https://doi.org/10.1038/nrn1201","https://arxiv.org/abs/2310.08560"
"BTA-002","episodic-memory","rapid one-shot episodic encoding","preserve individual events without catastrophic overwrite","append-only evidence-bearing episode store","supported","mature","common","experience buffers; event logs; Generative Agents; Mem0","partial","active_project_hypothesis","digital exact storage can hide failures of capture and access","raw immutable episode versus extracted fact and summary at equal retrieval budget","https://doi.org/10.1037/0033-295X.102.3.419","https://doi.org/10.1145/3586183.3606763"
"BTA-003","semantic-memory","gradual extraction of regularities","generalize across episodes while retaining exceptions","evidence-linked semantic views over episodes","supported","mature","demonstrated","knowledge graphs; reflections; ExpeL; ICAL; MIRIX semantic memory","partial","active_project_hypothesis","summaries can invent rules and erase exceptions","flat episodes versus provenance-linked semantic rules on transfer and correction","https://doi.org/10.1037/0033-295X.102.3.419","https://proceedings.neurips.cc/paper_files/paper/2024/hash/8ac50fd0a4eeeb1f077b17bb7c5353c3-Abstract-Conference.html"
"BTA-004","learning-systems","complementary learning systems","balance rapid specificity with slow generalization","separate fast episodic and slow semantic/procedural stores","supported","demonstrated","partial","CLS-inspired continual learning; MIRIX; dual-store agent designs","weak","active_project_hypothesis","calling two databases hippocampus and cortex does not implement CLS","dual store versus homogeneous store with equal capacity context and maintenance cost","https://doi.org/10.1037/0033-295X.102.3.419","https://arxiv.org/abs/1906.03744|https://arxiv.org/abs/2507.07957"
"BTA-005","consolidation","systems consolidation","stabilize and integrate episodes over longer timescales","versioned episode-to-rule transformation with provenance","supported","demonstrated","partial","generative replay; reflection; background memory managers","weak","active_project_hypothesis","offline summarization may be mere compression or repeated hallucination","no consolidation versus extractive versus generative evidence-linked consolidation","https://doi.org/10.1016/j.neuron.2013.06.007","https://github.com/langchain-ai/langmem"
"BTA-006","replay","selective awake and offline replay","allocate maintenance to experiences likely to alter future behavior","budgeted phase-conditioned replay sampler","supported","mature","sparse","experience replay; generative replay; reflection loops","partial","active_project_hypothesis","extra compute and poison amplification can masquerade as replay benefit","targeted versus random sham corrupted and direct-retrieval controls at equal cost","https://doi.org/10.1126/science.1217230|https://doi.org/10.1016/j.cub.2017.01.052","https://papers.nips.cc/paper/2017/hash/0efbe98067c6c73dba1250d2beaa81f9-Abstract.html"
"BTA-007","associative-memory","pattern separation","distinguish highly similar episodes and reduce interference","entity time source and task scoped representations with false-merge detection","supported","demonstrated","sparse","contrastive learning; sparse coding; scoped retrieval","weak","gap_candidate","over-separation destroys useful generalization and duplicates facts","similar-episode factorial measuring recall false merge duplicate rate and source confusion","https://doi.org/10.1016/j.tins.2011.06.006","https://arxiv.org/abs/2604.27003"
"BTA-008","associative-memory","pattern completion","recover a stored episode from partial or transformed cues","controlled multi-cue graph expansion with evidence checks","supported","mature","demonstrated","Hopfield networks; graph retrieval; HippoRAG Personalized PageRank","partial","active_project_hypothesis","completion can confidently blend episodes or invent missing links","weak-cue recall crossed with distractor density and false-completion scoring","https://doi.org/10.1073/pnas.79.8.2554","https://proceedings.neurips.cc/paper_files/paper/2024/hash/6ddc001d07ca4f319af96a3024f6dbd1-Abstract-Conference.html"
"BTA-009","retrieval","encoding specificity and context reinstatement","retrieve when later cues differ or depend on original context","preserve multiple cue views and source context","established","mature","partial","metadata filters; hybrid retrieval; query expansion","partial","active_project_hypothesis","too much context reinstates irrelevant state and increases intrusion","paraphrase language temporal and task-context cue interventions under fixed top-k","https://doi.org/10.1037/h0020071","https://aclanthology.org/2026.acl-long.1150/"
"BTA-010","source-memory","source monitoring","remember where a claim came from and how it was acquired","typed provenance and evidence-event links","supported","mature","partial","citations; provenance graphs; event sourcing","partial","active_project_hypothesis","a plausible citation may not entail the claim or preserve authorization","claim correctness crossed with source correctness completeness and authorization","https://doi.org/10.1037/0033-295X.100.1.3","https://doi.org/10.18653/v1/2023.emnlp-main.398"
