"category","priority","download","repository","html_url","description","stars","forks","open_issues","updated_at","default_branch","license","archived","size_kb","primary_use","notes"
"production-memory","A","yes","mem0ai/mem0","https://github.com/mem0ai/mem0","Universal memory layer for AI Agents","63843","7466","676","2026-08-23T04:29:00Z","main","Apache-2.0","False","63185","baseline and production architecture","Universal memory layer; inspect extraction update deletion and evaluation"
"stateful-agents","B","no","letta-ai/letta","https://github.com/letta-ai/letta","Platform for stateful agents: AI with advanced memory that can learn and self-improve over time.","24355","2587","42","2026-08-23T04:34:19Z","main","Apache-2.0","False","293633","project landing and historical reference","Current main branch is a landing page; archived V1 source remains on archive branch"
"stateful-agents","A","yes","letta-ai/letta-code","https://github.com/letta-ai/letta-code","Stateful agents that are like people, with memory, identity, and the ability to learn and adapt","3089","363","242","2026-08-23T03:40:24Z","main","Apache-2.0","False","86604","current stateful-agent runtime","Current Letta agent harness server channels identity and memory runtime"
"temporal-graph","A","yes","getzep/graphiti","https://github.com/getzep/graphiti","Build Real-Time Knowledge Graphs for AI Agents","30203","3058","488","2026-08-23T03:41:16Z","main","Apache-2.0","False","15347","temporal knowledge graph","Inspect provenance validity intervals contradiction and graph retrieval"
"memory-sdk","A","yes","langchain-ai/langmem","https://github.com/langchain-ai/langmem",,"1621","186","63","2026-08-22T09:13:48Z","main","MIT","False","5271","hot-path and background memory","Inspect semantic episodic procedural workflows and consolidation"
"memory-os","A","yes","MemTensor/MemOS","https://github.com/MemTensor/MemOS","Self-evolving memory OS for LLM & AI Agents: ultra-persistent memory, hybrid-retrieval, and cross-task skill reuse, with 35.24% token savings and DeepSeek Harness support.","10924","1002","75","2026-08-23T02:43:28Z","main","Apache-2.0","False","62012","memory lifecycle platform","Compare representation scheduling retrieval and evaluation"
"coding-agent-memory","A","yes","rohitg00/agentmemory","https://github.com/rohitg00/agentmemory","#1 Persistent memory for AI coding agents based on real-world benchmarks","27284","2335","492","2026-08-23T03:57:13Z","main","Apache-2.0","False","25585","local persistent project memory","Inspect filesystem/MCP/hooks retention and coding-agent integration"
"agentic-memory","A","yes","WujiangXu/A-mem","https://github.com/WujiangXu/A-mem","The code for NeurIPS 2025 paper ""A-Mem: Agentic Memory for LLM Agents""","945","102","6","2026-08-21T08:41:29Z","main","MIT","False","1695","research reproduction","Zettelkasten-inspired dynamic organization; compare update integrity and cost"
"agentic-memory","A","yes","WujiangXu/A-mem-sys","https://github.com/WujiangXu/A-mem-sys","A-MEM: Agentic Memory for LLM Agents","385","59","3","2026-08-19T09:33:27Z","main","MIT","False","1082","current library implementation","Current implementation linked by the paper reproduction repository"
"agentic-memory","A","yes","agiresearch/A-mem","https://github.com/agiresearch/A-mem","A-MEM: Agentic Memory for LLM Agents","1152","121","19","2026-08-22T15:31:49Z","main","MIT","False","1069","library implementation","Production-oriented implementation related to A-MEM"
"graph-retrieval","A","yes","OSU-NLP-Group/HippoRAG","https://github.com/OSU-NLP-Group/HippoRAG","[NeurIPS'24] HippoRAG is a novel RAG framework inspired by human long-term memory that enables LLMs to continuously integrate knowledge across external documents. RAG + Knowledge Graphs + Personalized PageRank.","3957","420","7","2026-08-22T19:40:07Z","main","MIT","False","87578","graph and associative retrieval","Compare dense retrieval against graph plus personalized PageRank"
"hierarchical-memory","A","yes","zjunlp/LightMem","https://github.com/zjunlp/LightMem","[ICLR 2026] LightMem: Lightweight and Efficient Memory-Augmented Generation","1092","104","4","2026-08-22T07:36:53Z","main","MIT","False","99175","efficient memory and StructMem","Contains modern benchmark harness and structured consolidation work"
"temporal-hierarchy","A","yes","TiMEM-AI/TiMEM","https://github.com/TiMEM-AI/TiMEM","Temporal-Hierarchical Memory Consolidation for Long-Horizon Conversational Agents","174","9","0","2026-08-22T01:31:18Z","main","NOASSERTION","False","1485","temporal hierarchical consolidation","Review raw-to-persona hierarchy temporal continuity and licensing boundaries"
"benchmark","A","yes","xiaowu0162/LongMemEval","https://github.com/xiaowu0162/LongMemEval","Benchmarking Chat Assistants on Long-Term Interactive Memory (ICLR 2025)","1025","81","44","2026-08-23T02:32:46Z","main","MIT","False","1908","conversational long-term memory","Five abilities; inspect current cleaned data version and evidence granularity"
"benchmark","A","yes","snap-research/locomo","https://github.com/snap-research/locomo",,"1118","104","37","2026-08-23T03:27:14Z","main","NOASSERTION","False","7678","long-term dialogue memory","Dialog evidence event summaries temporal and causal QA; verify dataset license"
"benchmark","A","yes","xiaowu0162/LongMemEval-V2","https://github.com/xiaowu0162/LongMemEval-V2","Official repository for LongMemEval-V2","132","20","5","2026-08-22T12:18:20Z","main","Apache-2.0","False","199","experienced-agent memory","High-priority final evaluation for workflow state failures and multimodal trajectories"
"benchmark","A","yes","mohammadtavakoli78/BEAM","https://github.com/mohammadtavakoli78/BEAM","[ICLR 2026] Beyond a Million Tokens: Benchmarking and Enhancing Long-Term Memory in LLMs","125","10","10","2026-08-22T14:44:36Z","main","MIT","False","695146","million-token stress test","Keep evaluation split isolated from training"
"benchmark","A","yes","HUST-AI-HYZ/MemoryAgentBench","https://github.com/HUST-AI-HYZ/MemoryAgentBench","Open source code for ICLR 2026 Paper: Evaluating Memory in LLM Agents via Incremental Multi-Turn Interactions","435","61","6","2026-08-20T15:39:54Z","main","MIT","False","2678","incremental agent-memory evaluation","Inspect accurate retrieval test-time learning and long-range understanding"
"benchmark","A","yes","mem0ai/memory-benchmarks","https://github.com/mem0ai/memory-benchmarks","Open-source evaluation suite for memory-augmented LLM systems","98","40","15","2026-08-20T15:36:31Z","main","Apache-2.0","False","2305","cross-system evaluation harness","Audit prompts judges versions and any system-specific exceptions before use"
"benchmark","A","yes","MemTensor/OmniMemEval","https://github.com/MemTensor/OmniMemEval","Evaluation framework for benchmarking memory systems.","50","7","1","2026-08-21T07:59:37Z","main","Apache-2.0","False","833","user and agent memory evaluation","Compare benchmark adapters and end-to-end evaluation"
"benchmark","A","yes","zjunlp/MemBase","https://github.com/zjunlp/MemBase","A Comprehensive Benchmarking Framework for Long-Term Conversational Memory Layers","48","7","0","2026-08-21T10:57:49Z","main","MIT","False","12422","cross-memory-layer benchmarking","Modern LongMemEval and LoCoMo harness linked by LightMem; audit comparability"
