candidate_id,layer,artifact,pinned_revision,license,language_scope,vector_dimension,input_limit,resource_class,registered_role,status,confound_control,primary_source
C1A,representation,intfloat/multilingual-e5-small,614241f622f53c4eeff9890bdc4f31cfecc418b3,MIT,multilingual-including-Polish,384,512 tokens,low,default local dense candidate,design-admitted,"exact normalized float32 search; documented query/passage prefixes; common frozen chunks",https://huggingface.co/intfloat/multilingual-e5-small
C1B,representation,BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,MIT,100-plus-languages,1024,8192 tokens,high,resource-ceiling dense candidate,design-admitted,"dense output only; exact normalized float32 search; same frozen chunks and input limit as C1A",https://huggingface.co/BAAI/bge-m3
C0,representation,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,e8f8c211226b894fcb81acc59f3b34ba3efd5f42,Apache-2.0,50-languages,384,128 tokens,low,semantic-similarity diagnostic,restricted-control,"never select architecture from this arm; same frozen chunks; report truncation",https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2
X1,search,numpy exact inner product,environment-lock-required,BSD-3-Clause,n/a,n/a,n/a,low,reference exact vector ranking,design-admitted,"L2-normalized float32 vectors; deterministic document-ID tie break; no ANN",https://numpy.org/doc/stable/reference/generated/numpy.inner.html
X2,search,facebookresearch/faiss IndexFlatIP,7059eaf7da7eddda62e71367e684d4bdedd7f94f,MIT,n/a,n/a,n/a,medium,checked exact-search implementation,parked-until-equivalence,"must reproduce X1 ranks exactly before use; no approximate index",https://github.com/facebookresearch/faiss/wiki/Guidelines-to-choose-an-index
C2A,fusion,reciprocal-rank-fusion,RRFPAPER-2009,publication,n/a,n/a,n/a,low,untuned sparse-dense hybrid,design-admitted,"equal inputs; k=60; fuse B2 and frozen C1 winner; deterministic ID tie break",https://cormack.uwaterloo.ca/cormacksigir09-rrf.pdf
S1,storage,asg017/sqlite-vec,04d28bd21773981e2d266bbf6aa4efbd011eb4f6,MIT-OR-Apache-2.0,n/a,n/a,n/a,low,portable on-disk vector storage,parked,"not used in representation test; later compare persistence recovery portability and exact-rank equivalence",https://github.com/asg017/sqlite-vec
LIB1,inference,huggingface/sentence-transformers,cad211983f36ce458e9b3360f3e11b29fc54cbd8,Apache-2.0,n/a,n/a,n/a,medium,local embedding inference,design-admitted,"freeze package lock tokenizer model revision dtype pooling normalization and device",https://github.com/huggingface/sentence-transformers
LIB2,inference,FlagOpen/FlagEmbedding,292ad785dea715f8cd509b8177f6e48618e6b137,MIT,n/a,n/a,n/a,high,BGE-M3 reference inference,design-admitted,"dense mode only in C1B; sparse and ColBERT outputs are separate future mechanisms",https://github.com/FlagOpen/FlagEmbedding
T1,transfer-benchmark,sdadas/pirb,cce658e60f7ec86acb15d64620e1ab4c44a39ad6,Apache-2.0-repository-per-dataset-audit-required,Polish,n/a,n/a,high,external Polish retrieval transfer,license-audit-required,"never tune on PIRB test; keep separate from natural project history; audit each constituent dataset",https://github.com/sdadas/pirb
