category,priority,download,repository,primary_use,notes
production-memory,A,yes,mem0ai/mem0,baseline and production architecture,"Universal memory layer; inspect extraction update deletion and evaluation"
stateful-agents,B,no,letta-ai/letta,project landing and historical reference,"Current main branch is a landing page; archived V1 source remains on archive branch"
stateful-agents,A,yes,letta-ai/letta-code,current stateful-agent runtime,"Current Letta agent harness server channels identity and memory runtime"
temporal-graph,A,yes,getzep/graphiti,temporal knowledge graph,"Inspect provenance validity intervals contradiction and graph retrieval"
memory-sdk,A,yes,langchain-ai/langmem,hot-path and background memory,"Inspect semantic episodic procedural workflows and consolidation"
memory-os,A,yes,MemTensor/MemOS,memory lifecycle platform,"Compare representation scheduling retrieval and evaluation"
coding-agent-memory,A,yes,rohitg00/agentmemory,local persistent project memory,"Inspect filesystem/MCP/hooks retention and coding-agent integration"
agentic-memory,A,yes,WujiangXu/A-mem,research reproduction,"Zettelkasten-inspired dynamic organization; compare update integrity and cost"
agentic-memory,A,yes,WujiangXu/A-mem-sys,current library implementation,"Current implementation linked by the paper reproduction repository"
agentic-memory,A,yes,agiresearch/A-mem,library implementation,"Production-oriented implementation related to A-MEM"
graph-retrieval,A,yes,OSU-NLP-Group/HippoRAG,graph and associative retrieval,"Compare dense retrieval against graph plus personalized PageRank"
hierarchical-memory,A,yes,zjunlp/LightMem,efficient memory and StructMem,"Contains modern benchmark harness and structured consolidation work"
temporal-hierarchy,A,yes,TiMEM-AI/TiMEM,temporal hierarchical consolidation,"Review raw-to-persona hierarchy temporal continuity and licensing boundaries"
benchmark,A,yes,xiaowu0162/LongMemEval,conversational long-term memory,"Five abilities; inspect current cleaned data version and evidence granularity"
benchmark,A,yes,snap-research/locomo,long-term dialogue memory,"Dialog evidence event summaries temporal and causal QA; verify dataset license"
benchmark,A,yes,xiaowu0162/LongMemEval-V2,experienced-agent memory,"High-priority final evaluation for workflow state failures and multimodal trajectories"
benchmark,A,yes,mohammadtavakoli78/BEAM,million-token stress test,"Keep evaluation split isolated from training"
benchmark,A,yes,HUST-AI-HYZ/MemoryAgentBench,incremental agent-memory evaluation,"Inspect accurate retrieval test-time learning and long-range understanding"
benchmark,A,yes,mem0ai/memory-benchmarks,cross-system evaluation harness,"Audit prompts judges versions and any system-specific exceptions before use"
benchmark,A,yes,MemTensor/OmniMemEval,user and agent memory evaluation,"Compare benchmark adapters and end-to-end evaluation"
benchmark,A,yes,zjunlp/MemBase,cross-memory-layer benchmarking,"Modern LongMemEval and LoCoMo harness linked by LightMem; audit comparability"
coding-trajectories,A,yes,choucisan/mimo-claude-code-traces-1k,failures recovery and effort labels,"Inspect data provenance license and suitability for outcome-derived labels"
foundational-agent,B,yes,joonspk-research/generative_agents,recency importance relevance reflection,"Foundational memory-stream baseline and reflection behavior"
