probe_id,stage,probe_name,status,observation,shared_dependencies,bypasses,failure_domain_class,can_support_physical_loss_claim
P0,F0,capture-receipt,synthetic-now,"accepted event receipt plus immutable source ID","source-adapter|process-runtime|receipt-log|filesystem|clock","retrieval|context|reader|action",capture-path,no
P1,F1,controlled-write,synthetic-now,"write known bytes and verify returned receipt","test-fixture|process-runtime|canonical-writer|filesystem|storage-device|checksum-library","retrieval|context|reader|action",same-device-write,no
P2,F1,direct-id-canonical-read,synthetic-now,"read accepted record by immutable ID","test-fixture|process-runtime|canonical-reader|schema-parser|filesystem|storage-device","index|ranking|context|reader",same-device-structured-read,no
P3,F1,full-canonical-scan,synthetic-now,"scan canonical store for immutable ID","test-fixture|process-runtime|canonical-reader|schema-parser|filesystem|storage-device","index|ranking|context|reader",same-device-structured-read,no
P4,F1,raw-byte-recovery,synthetic-now,"search raw storage bytes and verify checksum","test-fixture|process-runtime|filesystem|storage-device|checksum-library","canonical-reader|schema-parser|index|ranking",same-device-raw-read,no
P5,F1,schema-reparse,synthetic-now,"reparse recovered raw bytes with frozen schema versions","test-fixture|process-runtime|schema-parser|filesystem|storage-device","index|ranking|context|reader",same-device-parser,no
P6,F2,oracle-query-retrieval,synthetic-now,"retrieve known target using exact entity/time query","test-fixture|process-runtime|retrieval-engine|index|filesystem|storage-device","natural-language-parser|context|reader",index-access,no
P7,F3,oracle-record-context,synthetic-now,"construct context from supplied immutable target record","test-fixture|process-runtime|context-builder|tokenizer","capture|storage|retrieval-ranking|reader",context-construction,no
P8,F4,oracle-context-reader,synthetic-now,"answer with supplied gold evidence and frozen prompt","test-fixture|reader-runtime|model-provider|model-snapshot|tokenizer","capture|storage|retrieval|context-selection",reader-model,no
P9,F5,fixed-answer-action,synthetic-now,"execute supplied correct answer and verify effect","test-fixture|process-runtime|action-adapter|judge","capture|storage|retrieval|context|reader",action-path,no
P10,F1,alternate-replica-raw-read,planned,"verify bytes and checksum on separately inventoried replica","test-fixture|alternate-runtime|alternate-filesystem|alternate-storage-device|checksum-implementation-b","primary-process|primary-filesystem|primary-storage-device|schema-parser|index",separate-media-read,yes-when-replica-inventory-complete
P11,F0,source-recapture,planned,"re-read original authorized source and reconstruct canonical event","source-system|alternate-adapter|source-authorization","canonical-store|index|context|reader",source-recovery,no
